Designator,Footprint,Quantity,Value,LCSC Part #
"AUX_FLEX1, FLEX_MORRO1",TE_0-1734839-7_1x07-1MP_P0.5mm_Horizontal,2,Conn_01x07,C388693
"C1, C3",0805,2,10uF,C380331
"C2, C4",0805,2,0.1uF,C2847428
"MUX1, MUX2",MUX_CD4051B,2,CD4051B,C3007951
"R1, R10, R13, R16, R19, R22, R4, R7",0805,8,45,C3017827
"R11, R12, R14, R15, R17, R18, R2, R20, R21, R23, R24, R3, R5, R6, R8, R9",0805,16,10k,C17414
"S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S7, S8, S9",ITR8307_SMD,16,~,C81632
